# count,name,subtitle,set,number,variant,rarity,is_foil,price_each,price_total
7,Open Fire,,SOR,172,Standard,Common,False,0.02 €,0.14 €
4,Consortium StarViper,,SOR,112,Standard,Common,False,0.02 €,0.08 €
3,Gladiator Star Destroyer,,SOR,86,Standard,Common,False,0.02 €,0.06 €
2,Relentless,Konstantine's Folly,SOR,89,Standard,Rare,False,0.02 €,0.04 €
6,Superlaser Technician,,SOR,83,Standard,Common,False,0.02 €,0.12 €
3,Grand Moff Tarkin,Death Star Overseer,SOR,84,Standard,Special,False,0.02 €,0.06 €
1,Agent Kallus,Seeking the Rebels,SOR,379,Hyperspace Foil,Rare,True,2.00 €,2.00 €
4,Mercenary Company,,SOR,117,Standard,Common,False,0.02 €,0.08 €
3,Blizzard Assault AT-AT,,SOR,88,Standard,Uncommon,False,0.02 €,0.06 €
3,Strike True,,SOR,127,Standard,Common,False,0.02 €,0.06 €
2,Overwhelming Barrage,,SOR,92,Standard,Uncommon,False,0.02 €,0.04 €
4,Recruit,,SOR,123,Standard,Common,False,0.02 €,0.08 €
4,Death Trooper,,SOR,33,Standard,Common,False,0.02 €,0.08 €
3,Green Squadron A-Wing,,SOR,141,Standard,Common,False,0.02 €,0.06 €
1,Search Your Feelings,,SOR,42,Standard,Rare,False,0.02 €,0.02 €
2,Vanguard Ace,,SOR,191,Standard,Uncommon,False,0.02 €,0.04 €
1,Black One,Scourge of Starkiller Base,SOR,147,Standard,Legendary,False,0.10 €,0.10 €
2,Han Solo,Reluctant Hero,SOR,198,Standard,Rare,False,0.02 €,0.04 €
2,Chewbacca,Loyal Companion,SOR,196,Standard,Uncommon,False,0.02 €,0.04 €
3,Auzituck Liberator Gunship,,SOR,195,Standard,Common,False,0.02 €,0.06 €
3,Rogue Operative,,SOR,194,Standard,Common,False,0.02 €,0.06 €
3,Leia Organa,Defiant Princess,SOR,189,Standard,Special,False,0.02 €,0.06 €
1,Vigilance,,SOR,58,Standard Foil,Legendary,True,4.00 €,4.00 €
1,Lieutenant Childsen,Death Star Prison Warden,SOR,35,Standard,Uncommon,False,0.02 €,0.02 €
6,Cell Block Guard,,SOR,229,Standard,Common,False,0.02 €,0.12 €
6,Imperial Interceptor,,SOR,132,Standard,Common,False,0.02 €,0.12 €
3,Admiral Motti,Brazen and Scornful,SOR,226,Standard,Special,False,0.02 €,0.06 €
5,Death Star Stormtrooper,,SOR,128,Standard,Common,False,0.02 €,0.10 €
6,Waylay,,SOR,222,Standard,Common,False,0.02 €,0.12 €
3,I Am Your Father,,SOR,233,Standard,Special,False,0.02 €,0.06 €
5,Surprise Strike,,SOR,220,Standard,Common,False,0.02 €,0.10 €
3,Shoot First,,SOR,217,Standard,Uncommon,False,0.02 €,0.06 €
6,Asteroid Sanctuary,,SOR,218,Standard,Common,False,0.02 €,0.12 €
5,TIE/ln Fighter,,SOR,225,Standard,Common,False,0.02 €,0.10 €
2,Admiral Piett,Captain of the Executor,SOR,79,Standard,Uncommon,False,0.02 €,0.04 €
3,Administrator's Tower,,SOR,29,Standard,Common,False,0.02 €,0.06 €
3,IG-88,Ruthless Bounty Hunter,SOR,12,Standard,Common,False,0.02 €,0.06 €
2,Boba Fett,Collecting the Bounty,SOR,15,Standard,Common,False,0.02 €,0.04 €
